Inches,ScreenResolution,Cpu,Ram,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,LaptopPrice
13.3,4,15,8,1.12,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,989.0
17.3,4,16,8,2.8,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1085.0
14.0,9,16,16,1.42,1,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2824.0
14.0,4,10,4,1.3,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,260.0
13.3,4,15,8,1.3,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,999.9
17.3,3,15,8,2.8,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,698.0
13.3,4,16,8,1.62,1,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,839.0
17.3,4,15,8,2.5,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,914.0
17.3,14,16,32,3.49,1,0,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6099.0
13.3,4,15,8,1.49,0,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,959.0
17.3,4,16,16,3.35,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1379.0
17.3,4,16,8,2.5,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1045.0
15.6,14,16,16,2.65,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1845.0
15.6,1,15,4,2.1,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,493.0
15.6,4,16,8,2.23,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,742.0
15.6,4,16,16,3.2,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1749.0
15.6,14,13,16,2.8,0,1000,256,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3055.0
15.6,4,16,16,2.4,0,0,512,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1398.0
15.6,1,14,6,2.3,1,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,439.0
13.3,14,16,8,1.21,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1949.0
13.3,4,16,8,1.2,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1449.0
15.6,1,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,597.0
15.6,4,16,8,2.4,0,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,779.0
17.3,4,16,16,2.9,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1407.0
15.6,4,14,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,349.0
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,549.0
13.0,6,16,8,1.05,0,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1499.0
13.3,4,16,8,1.4,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,931.88
17.3,3,15,8,2.8,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,589.0
14.0,4,16,8,1.63,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1031.0
14.0,4,15,8,1.6,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1149.0
13.3,4,16,16,1.62,1,0,512,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1279.0
15.6,4,15,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,677.35
14.0,4,15,8,1.74,0,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,899.0
13.3,4,16,8,1.2,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1363.0
15.6,4,15,8,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,794.0
17.3,4,16,16,4.42,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2456.34
15.6,4,16,8,2.2,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,832.0
